Species	Family	Order	Class	Body.mass	Flying	Diet	Method.category.mass	Method.category.flying	Method.category.diet	Surrogate.used.mass	Surrogate.name.mass	Surrogate.name.diet	Diet.by.whom	Source.bodymass	Source.flying	Source.diet
Aplonis cinerascens	Sturnidae	Passeriformes	Aves	82.9	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis dichroa	Sturnidae	Passeriformes	Aves	84.05	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis fusca	Sturnidae	Passeriformes	Aves	76.15714286	1	1	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Aplonis"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis grandis	Sturnidae	Passeriformes	Aves	134	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis insularis	Sturnidae	Passeriformes	Aves	70	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis metallica	Sturnidae	Passeriformes	Aves	56.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis striata	Sturnidae	Passeriformes	Aves	54.2	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis tabuensis	Sturnidae	Passeriformes	Aves	62.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aplonis zelandica	Sturnidae	Passeriformes	Aves	76.15714286	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Aplonis"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Aratinga brevipes	Psittacidae	Psittaciformes	Aves	177	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Brachylophus fasciatus	Iguanidae	Squamata	Reptilia	162	0	1	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	17
Cacatua ducorpsii	Psittacidae	Psittaciformes	Aves	394	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Cacatua sp	Psittacidae	Psittaciformes	Aves	485.775641	1	3	Genus mean, decided by Heinen	Literature	Surrogate + Database	1	"Genus mean ""Cacatua"""	Cacatua ophthalmica	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W., & Kirch, P. V. (1998). Biogeography and prehistoric exploitation of birds in the Mussau islands, Bismarck archipelago, Papua New Guinea. Emu, 98(1), 13-22.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Cacomantis flabelliformis	Cuculidae	Cuculiformes	Aves	49.8	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Caloenas nicobarica	Columbidae	Columbiformes	Aves	540	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Camarhynchus crassirostris	Thraupidae	Passeriformes	Aves	35.5	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Camarhynchus pallidus	Thraupidae	Passeriformes	Aves	23.1	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Camarhynchus parvulus	Thraupidae	Passeriformes	Aves	13.2	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Camarhynchus psittacula	Thraupidae	Passeriformes	Aves	18.7	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Carduelis carduelis	Fringillidae	Passeriformes	Aves	16	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Carduelis chloris	Fringillidae	Passeriformes	Aves	26	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Carduelis sinica	Fringillidae	Passeriformes	Aves	18.6	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Certhidea olivacea	Thraupidae	Passeriformes	Aves	9.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Cettia diphone	Sylviidae	Passeriformes	Aves	13.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Chalcides viridanus	Scincidae	Squamata	Reptilia	17.93	0	2	Calculation	Morphology	Literature	0			Heinen	"Sánchez-Hernández, P., Ramírez-Pinilla, M. P., & Molina-Borja, M. (2012). Agonistic and courtship behaviour patterns in the skink Chalcides viridanus (Fam. Scincidae) from Tenerife. acta ethologica, 15(1), 65-71.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	25
Chalcophaps indica	Columbidae	Columbiformes	Aves	137.6666667	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Chalcophaps stephani	Columbidae	Columbiformes	Aves	129.5	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Chalcopsitta cardinalis	Psittacidae	Psittaciformes	Aves	183	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna amabilis	Psittacidae	Psittaciformes	Aves	36.2	1	1	Surrogate	Morphology	Database	1	Charmosyna pulchella, Charmosyna multistrata, Charmosyna charmosyna, Charmosyna rubrigularis, Charmosyna rubronotata		Kissling	World Parrot Trust (https://www.parrots.org/encyclopedia/red-throated-lorikeet Access date March 2016)	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna margarethae	Psittacidae	Psittaciformes	Aves	49.75	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna meeki	Psittacidae	Psittaciformes	Aves	23.8	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna palmarum	Psittacidae	Psittaciformes	Aves	35	1	1	Literature	Morphology	Database	0			Kissling	World Parrot Trust (https://www.parrots.org/encyclopedia/palm-lorikeet access date March 2016)	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna placentis	Psittacidae	Psittaciformes	Aves	33.6	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Charmosyna rubrigularis	Psittacidae	Psittaciformes	Aves	37	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Chelonoidis abingdonii	Testudinidae	Testudines	Reptilia	59133	0	3	Calculation	Morphology	Literature	0			Heinen	Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.	Various images	21
Chelonoidis becki	Testudinidae	Testudines	Reptilia	70121	0	3	Calculation	Morphology	Literature	0			Heinen	Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.	Various images	21
Chelonoidis chathamensis	Testudinidae	Testudines	Reptilia	46338	0	3	Calculation	Morphology	Literature	0			Heinen	Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.	Various images	21
Chelonoidis darwini	Testudinidae	Testudines	Reptilia	56897	0	3	Calculation	Morphology	Literature	0			Heinen	Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.	Various images	21
Chelonoidis microphyes	Testudinidae	Testudines	Reptilia	66889	0	3	Calculation	Morphology	Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21
Chelonoidis phantastica	Testudinidae	Testudines	Reptilia	42405	0	3	Calculation	Morphology	Literature	0			Heinen	"Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112."	Various images	21
Chelonoidis porteri	Testudinidae	Testudines	Reptilia	70121	0	3	Calculation	Morphology	Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21
Chelonoidis vandenburghi	Testudinidae	Testudines	Reptilia	106506	0	3	Calculation	Morphology	Literature	0			Heinen	Hansen, D. M., Donlan, C. J., Griffiths, C. J., & Campbell, K. J. (2010). Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions. Ecography, 33(2), 272-284.	Various images	21
Chelonoidis vicina	Testudinidae	Testudines	Reptilia	106506	0	3	Calculation	Morphology	Literature	0			Heinen	Itescu, Y., Karraker, N. E., Raia, P., Pritchard, P. C., & Meiri, S. (2014). Is the island rule general? Turtles disagree. Global Ecology and Biogeography, 23(6), 689-700.	Various images	21
Chlamydotis undulata	Utidae	Gruiformes	Aves	1555	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Christinus guentheri	Gekkonidae	Squamata	Reptilia	14.6	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	11, 12
Coccyzus melacoryphus	Cuculidae	Cuculiformes	Aves	49.9	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba arquatrix	Columbidae	Columbiformes	Aves	400	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba bollii	Columbidae	Columbiformes	Aves	349.9673913	1	3	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Columba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba janthina	Columbidae	Columbiformes	Aves	397	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba junoniae	Columbidae	Columbiformes	Aves	349.9673913	1	3	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Columba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba livia	Columbidae	Columbiformes	Aves	354.5	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba pallidiceps	Columbidae	Columbiformes	Aves	459	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba palumbus	Columbidae	Columbiformes	Aves	490	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba pollenii	Columbidae	Columbiformes	Aves	349.9673913	1	3	Genus mean, decided by Heinen	Morphology	Database	1	"Genus mean ""Columba"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba trocaz	Columbidae	Columbiformes	Aves	442.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Columba vitiensis	Columbidae	Columbiformes	Aves	353	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Conolophus subcristatus	Iguanidae	Squamata	Reptilia	7000	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	18
Coracina novaehollandiae	Campephagidae	Passeriformes	Aves	118	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Coracopsis nigra	Psittacidae	Psittaciformes	Aves	193.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Coracopsis vasa	Psittacidae	Psittaciformes	Aves	525	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corucia zebrata	Scincidae	Squamata	Reptilia	1013.7	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	6
Corvus albus	Corvidae	Passeriformes	Aves	524	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus corax	Corvidae	Passeriformes	Aves	941	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus impluviatus	Corvidae	Passeriformes	Aves	629.72	1	1	Estimate + surrogate	Morphology	Genus mean	1	Corvus hawaiiensis		Heinen	"James, Helen F., and Storrs L. Olson. ""Descriptions of thirty-two new species of birds from the Hawaiian Islands: Part II. Passeriformes."" Ornithological Monographs 46 (1991): 1-88.;Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus macrorhynchos	Corvidae	Passeriformes	Aves	519.25	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus orru	Corvidae	Passeriformes	Aves	511.6666667	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus ruficollis	Corvidae	Passeriformes	Aves	559	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Corvus viriosus	Corvidae	Passeriformes	Aves	610.55	1	1	Estimate + surrogate	Morphology	Genus mean	1	Corvus hawaiiensis		Heinen	"James, Helen F., and Storrs L. Olson. ""Descriptions of thirty-two new species of birds from the Hawaiian Islands: Part II. Passeriformes."" Ornithological Monographs 46 (1991): 1-88.;Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Crotophaga ani	Cuculidae	Cuculiformes	Aves	111.7333333	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Cyanolanius madagascarinus	Vangidae	Passeriformes	Aves	22.3	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
